dates,Close,Adj
12/14/1983,163.33,199.0224
12/15/1983,161.67,196.9996
12/16/1983,162.39,197.877
12/19/1983,162.32,197.7917
12/20/1983,162,197.4017
12/21/1983,163.56,199.3026
12/22/1983,163.27,198.9493
12/23/1983,163.22,198.8883
12/27/1983,164.76,200.7649
12/28/1983,165.34,201.4716
12/29/1983,164.86,200.8867
12/30/1983,164.93,201.7031
1/3/1984,164.04,200.6147
1/4/1984,166.78,203.9656
1/5/1984,168.81,206.4482
1/6/1984,169.28,207.023
1/9/1984,168.9,206.5583
1/10/1984,167.95,205.3965
1/11/1984,167.79,205.2008
1/12/1984,167.75,205.1519
1/13/1984,167.02,204.2591
1/16/1984,167.18,204.4548
1/17/1984,167.83,205.2497
1/18/1984,167.55,204.9073
1/19/1984,167.04,204.2836
1/20/1984,166.21,203.2685
1/23/1984,164.87,201.6298
1/24/1984,165.94,202.9383
1/25/1984,164.84,201.5931
1/26/1984,164.24,200.8593
1/27/1984,163.94,200.4924
1/30/1984,162.87,199.1838
1/31/1984,163.41,200.578
2/1/1984,162.74,199.7556
2/2/1984,163.36,200.5166
2/3/1984,160.91,197.5094
2/6/1984,158.08,194.0357
2/7/1984,158.74,194.8458
2/8/1984,155.85,191.2985
2/9/1984,155.42,190.7707
2/10/1984,156.3,191.8508
2/13/1984,154.95,190.1938
2/14/1984,156.61,192.2313
2/15/1984,156.25,191.7894
2/16/1984,156.13,191.6422
2/17/1984,155.74,191.1634
2/21/1984,154.64,189.8133
2/22/1984,154.31,189.4082
2/23/1984,154.29,189.3836
2/24/1984,157.51,193.336
2/27/1984,159.3,195.5332
2/28/1984,156.82,192.4891
2/29/1984,157.06,193.5202
3/1/1984,158.19,194.9125
3/2/1984,159.24,196.2062
3/5/1984,157.89,194.5428
3/6/1984,156.25,192.5221
3/7/1984,154.57,190.4521
3/8/1984,155.19,191.2161
3/9/1984,154.35,190.1811
3/12/1984,156.34,192.633
3/13/1984,156.78,193.1752
3/14/1984,156.77,193.1628
3/15/1984,157.41,193.9514
3/16/1984,159.27,196.2432
3/19/1984,157.78,194.4073
3/20/1984,158.86,195.738
3/21/1984,158.66,195.4916
3/22/1984,156.69,193.0643
3/23/1984,156.86,193.2737
3/26/1984,156.67,193.0396
3/27/1984,157.3,193.8159
3/28/1984,159.88,196.9948
3/29/1984,159.52,196.5512
3/30/1984,159.18,196.8716
4/2/1984,157.98,195.3874
4/3/1984,157.66,194.9917
4/4/1984,157.54,194.8433
4/5/1984,155.04,191.7513
4/6/1984,155.48,192.2955
4/9/1984,155.45,192.2584
4/10/1984,155.87,192.7778
4/11/1984,155,191.7018
4/12/1984,157.73,195.0782
4/13/1984,157.31,194.5588
4/16/1984,158.32,195.8079
4/17/1984,158.97,196.6119
4/18/1984,157.9,195.2885
4/19/1984,158.02,195.4369
4/23/1984,156.8,193.928
4/24/1984,158.07,195.4988
4/25/1984,158.65,196.2161
4/26/1984,160.3,198.2568
4/27/1984,159.89,197.7497
4/30/1984,160.05,198.7391
5/1/1984,161.68,200.7632
5/2/1984,161.9,201.0363
5/3/1984,161.2,200.1671
5/4/1984,159.11,197.5719
5/7/1984,159.47,198.0189
5/8/1984,160.52,199.3227
5/9/1984,160.11,198.8136
5/10/1984,160,198.677
5/11/1984,158.49,196.802
5/14/1984,157.5,195.5727
5/15/1984,158,196.1936
5/16/1984,157.99,196.1812
5/17/1984,156.57,194.4179
5/18/1984,155.78,193.4369
5/21/1984,154.73,192.1331
5/22/1984,153.88,191.0776
5/23/1984,153.15,190.1712
5/24/1984,151.23,187.7871
5/25/1984,151.62,188.2713
5/29/1984,150.29,186.6198
5/30/1984,150.35,186.6943
5/31/1984,150.55,187.7374
6/1/1984,153.24,191.0918
6/4/1984,154.34,192.4636
6/5/1984,153.65,191.6031
6/6/1984,155.01,193.2991
6/7/1984,154.92,193.1868
6/8/1984,155.17,193.4986
6/11/1984,153.06,190.8674
6/12/1984,152.19,189.7825
6/13/1984,152.13,189.7077
6/14/1984,150.39,187.5379
6/15/1984,149.03,185.8419
6/18/1984,151.73,189.2089
6/19/1984,152.61,190.3062
6/20/1984,154.84,193.0871
6/21/1984,154.51,192.6755
6/22/1984,154.46,192.6132
6/25/1984,153.97,192.0022
6/26/1984,152.71,190.4309
6/27/1984,151.64,189.0966
6/28/1984,152.84,190.593
6/29/1984,153.18,191.8151
7/2/1984,153.2,191.8402
7/3/1984,153.7,192.4663
7/5/1984,152.76,191.2892
7/6/1984,152.24,190.638
7/9/1984,153.36,192.0405
7/10/1984,152.89,191.452
7/11/1984,150.56,188.5343
7/12/1984,150.03,187.8706
7/13/1984,150.88,188.935
7/16/1984,151.6,189.8366
7/17/1984,152.38,190.8133
7/18/1984,151.4,189.5862
7/19/1984,150.37,188.2964
7/20/1984,149.55,187.2696
7/23/1984,148.95,186.5182
7/24/1984,147.82,185.1032
7/25/1984,148.83,186.368
7/26/1984,150.08,187.9332
7/27/1984,151.19,189.3232
7/30/1984,150.19,188.071
7/31/1984,150.66,189.4359
8/1/1984,154.08,193.7361
8/2/1984,157.99,198.6524
8/3/1984,162.35,204.1346
8/6/1984,162.6,204.4489
8/7/1984,162.71,204.5872
8/8/1984,161.75,203.3802
8/9/1984,165.54,208.1456
8/10/1984,165.42,207.9947
8/13/1984,165.43,208.0073
8/14/1984,164.42,206.7374
8/15/1984,162.8,204.7004
8/16/1984,163.77,205.9201
8/17/1984,164.14,206.3853
8/20/1984,164.94,207.3912
8/21/1984,167.83,211.025
8/22/1984,167.06,210.0568
8/23/1984,167.12,210.1323
8/24/1984,167.51,210.6226
8/27/1984,166.44,209.2772
8/28/1984,167.4,210.4843
8/29/1984,167.1,210.1071
8/30/1984,166.6,209.4784
8/31/1984,166.68,210.3586
9/4/1984,164.88,208.0869
9/5/1984,164.29,207.3423
9/6/1984,165.65,209.0587
9/7/1984,164.37,207.4433
9/10/1984,164.26,207.3044
9/11/1984,164.45,207.5442
9/12/1984,164.68,207.8345
9/13/1984,167.94,211.9488
9/14/1984,168.78,213.0089
9/17/1984,168.87,213.1225
9/18/1984,167.65,211.5828
9/19/1984,166.94,210.6867
9/20/1984,167.47,211.3556
9/21/1984,165.67,209.0839
9/24/1984,165.28,208.5917
9/25/1984,165.62,209.0208
9/26/1984,166.28,209.8538
9/27/1984,166.96,210.712
9/28/1984,166.1,210.4091
10/1/1984,164.62,208.5343
10/2/1984,163.59,207.2295
10/3/1984,162.44,205.7727
10/4/1984,162.92,206.3808
10/5/1984,162.68,206.0767
10/8/1984,162.13,205.38
10/9/1984,161.67,204.7973
10/10/1984,162.11,205.3547
10/11/1984,162.78,206.2034
10/12/1984,164.18,207.9769
10/15/1984,165.77,209.991
10/16/1984,164.78,208.7369
10/17/1984,164.14,207.9262
10/18/1984,168.1,212.9426
10/19/1984,167.96,212.7652
10/22/1984,167.36,212.0052
10/23/1984,167.09,211.6632
10/24/1984,167.2,211.8025
10/25/1984,166.31,210.6751
10/26/1984,165.29,209.383
10/29/1984,164.78,208.7369
10/30/1984,166.84,211.3465
10/31/1984,166.09,211.2198
11/1/1984,167.49,213.0002
11/2/1984,167.42,212.9112
11/5/1984,168.58,214.3864
11/6/1984,170.41,216.7136
11/7/1984,169.17,215.1367
11/8/1984,168.68,214.5135
11/9/1984,167.6,213.1401
11/12/1984,167.36,212.8349
11/13/1984,165.97,211.0672
11/14/1984,165.99,211.0926
11/15/1984,165.89,210.9655
11/16/1984,164.1,208.6891
11/19/1984,163.1,207.4174
11/20/1984,164.18,208.7908
11/21/1984,164.52,209.2232
11/23/1984,166.92,212.2753
11/26/1984,165.55,210.5331
11/27/1984,166.29,211.4741
11/28/1984,165.02,209.8591
11/29/1984,163.91,208.4475
11/30/1984,163.58,208.8544
12/3/1984,162.82,207.8841
12/4/1984,163.38,208.599
12/5/1984,162.1,206.9648
12/6/1984,162.76,207.8074
12/7/1984,162.26,207.1691
12/10/1984,162.83,207.8968
12/11/1984,163.07,208.2032
12/12/1984,162.63,207.6415
12/13/1984,161.81,206.5945
12/14/1984,162.69,207.7181
12/17/1984,163.61,208.8927
12/18/1984,168.11,214.6382
12/19/1984,167.16,213.4252
12/20/1984,166.38,212.4294
12/21/1984,165.51,211.3186
12/24/1984,166.76,212.9145
12/26/1984,166.47,212.5443
12/27/1984,165.75,211.625
12/28/1984,166.26,212.2762
12/31/1984,167.24,214.3573
1/2/1985,165.37,211.9604
1/3/1985,164.57,210.9351
1/4/1985,163.68,209.7943
1/7/1985,164.24,210.5121
1/8/1985,163.99,210.1917
1/9/1985,165.18,211.7169
1/10/1985,168.31,215.7287
1/11/1985,167.91,215.2161
